 Year ; Month ; Day ; FECHA completa ;Valor Neto; Margen ; Mar% ; Cantidad ; Costo Promedio ; Fecha con dia semana ; Semana del año ; DIA de la semana ; index 
2018;Marzo;27;27/Marzo/2018;39180050.00;$ 16,069,537.58;41.01%;27,720.10;$ 23,110,512.42;martes, 27 de marzo de 2018;13;martes;974
2018;Marzo;28;28/Marzo/2018;51911249.00;$ 21,117,103.52;40.68%;53,012.00;$ 30,794,145.48;miércoles, 28 de marzo de 2018;13;miércoles;975
2018;Marzo;29;29/Marzo/2018;104590862.90;$ 36,555,317.88;34.95%;70,896.00;$ 68,035,545.02;jueves, 29 de marzo de 2018;13;jueves;976
2018;Abril;2;2/Abril/2018;18990848.00;$ 7,176,044.73;37.79%;13,899.00;$ 11,814,803.27;lunes, 2 de abril de 2018;14;lunes;977
2018;Abril;3;3/Abril/2018;38030634.00;$ 16,118,923.48;42.38%;20,014.29;$ 21,911,710.52;martes, 3 de abril de 2018;14;martes;978
2018;Abril;4;4/Abril/2018;28674445.71;$ 11,673,948.01;40.71%;16,178.00;$ 17,000,497.70;miércoles, 4 de abril de 2018;14;miércoles;979
2018;Abril;5;5/Abril/2018;23400996.19;$ 9,534,130.88;40.74%;34,825.00;$ 13,866,865.31;jueves, 5 de abril de 2018;14;jueves;980
2018;Abril;6;6/Abril/2018;37306003.00;$ 16,011,780.75;42.92%;34,485.00;$ 21,294,222.25;viernes, 6 de abril de 2018;14;viernes;981
2018;Abril;7;7/Abril/2018;4329509.00;$ 1,693,743.57;39.12%;6,091.00;$ 2,635,765.43;sábado, 7 de abril de 2018;14;sábado;982
2018;Abril;9;9/Abril/2018;25927329.78;$ 10,010,683.52;38.61%;22,331.00;$ 15,916,646.26;lunes, 9 de abril de 2018;15;lunes;983
2018;Abril;10;10/Abril/2018;40237488.00;$ 15,128,056.74;37.60%;29,390.19;$ 25,109,431.26;martes, 10 de abril de 2018;15;martes;984
2018;Abril;11;11/Abril/2018;31758392.00;$ 12,051,910.38;37.95%;26,981.00;$ 19,706,481.62;miércoles, 11 de abril de 2018;15;miércoles;985
2018;Abril;12;12/Abril/2018;44881634.00;$ 18,192,461.47;40.53%;38,395.83;$ 26,689,172.53;jueves, 12 de abril de 2018;15;jueves;986
2018;Abril;13;13/Abril/2018;36163576.00;$ 14,552,964.32;40.24%;22,200.00;$ 21,610,611.68;viernes, 13 de abril de 2018;15;viernes;987
2018;Abril;14;14/Abril/2018;12545005.00;$ 4,763,209.09;37.97%;4,115.00;$ 7,781,795.91;sábado, 14 de abril de 2018;15;sábado;988
2018;Abril;16;16/Abril/2018;28946612.00;$ 11,642,039.60;40.22%;21,468.00;$ 17,304,572.40;lunes, 16 de abril de 2018;16;lunes;989
2018;Abril;17;17/Abril/2018;33546242.00;$ 13,033,077.97;38.85%;25,512.00;$ 20,513,164.03;martes, 17 de abril de 2018;16;martes;990
